en,dz_preferred,confidence,coverage,carriers,dz_candidates,review,dz_variants,notes
butterfly,ཕྱེམ་ལ་,medium,0.79,14,ཕྱེམ་ལ་(0.79) | མཐོང་(0.21) | ཅིག་(0.43),YES,ཕྱེམ་རྩལ་,DDC p.583 noun; agrees with corpus
bee,གསེར་སྦྱང་,dict,0.36,45,གསེར་སྦྱངམ་(0.36) | གསེར་སྦྱང་(0.29) | མདུང་(0.24),,སེར་སྦྱངམ་,DDC p.1049 noun; replaced corpus guess གསེར་སྦྱངམ་
ant,གྱོག་མོ་,medium,0.75,24,གྱོག་མོ་(0.75) | ཐབ་ཚང་(0.17) | མེདཔ་(0.17),YES,,DDC p.118 noun; agrees with corpus
spider,བབ་ཤནམ་,medium,0.79,34,བབ་ཤནམ་(0.79) | འདྲོག་(0.18) | ཚུ་(0.29),YES,,DDC p.600 noun; agrees with corpus
mosquito,གཟན་དོམ་,high,1.00,17,གཟན་དོམ་(1.00) | ལག་ངར་(0.24) | བཏབ་(0.71),,,DDC p.845 noun; agrees with corpus
fly,འཕུར་,medium,0.56,104,འཕུར་(0.56) | བྱ་(0.20) | ཚུ་(0.16),YES,སྦྱངམ་ | དོར་རྟ་ | སྦྲང་མ་,DDC p.588 verb [ལྡིང་།]; agrees with corpus
worm,འབུཔ་,dict,0.33,15,འབུཔ་(0.33) | ནང་(0.33) | ཨིན(0.40),,འབུཔ་ཕྲན་ | གཡོ་གཟུར་ | ལྕོང་འབུཔ་,DDC p.640 noun; agrees with corpus
grasshopper,ཅིའུ་དབ་,dict,,0,,check - corpus proposed something else,,DDC p.228 noun
cricket,གཡུག་རིལ་,dict,0.43,14,གཡུག་རིལ་(0.43) | ཨ་ཞང་(0.29) | རྩེདམོ་(0.36),,ཏེམ་བྱི་རུ་ | གཡུག་རིལ་རྩེདམོ་,DDC p.895 noun; agrees with corpus
beetle,ཨ་ཝ་གླང་,dict,0.17,6,འཇམ་པ(0.17) | ཉེ་འཆར་(0.17) | ཀ་རབ་(0.17),check - corpus proposed something else,,DDC p.1083 noun; replaced corpus guess འཇམ་པ
snail,དུང་དཀར་འབུཔ་,dict,0.17,6,གདུང་དཀར་(0.17) | དུང་དཀར་(0.83) | འབུཔ་(0.83),check - corpus proposed something else,,DDC p.390 noun; replaced corpus guess གདུང་དཀར་
leech,པདཔ་,dict,,0,,check - corpus proposed something else,གཞན་ལུ་བརྟེན་པ་,DDC p.524 noun
